name,boys,girls,total,gender
RUSSELL,981,0,981,1
RYAN,63178,21,63199,0.9996677162613332
RYDER,505,0,505,1
RYLAN,847,0,847,1
RYLEE,1187,167,1354,0.8766617429837519
RYLEIGH,202,192,394,0.5126903553299492
RYLEY,1802,48,1850,0.9740540540540541
RYLIE,376,128,504,0.746031746031746
SAAD,673,0,673,1
SABA,3,776,779,0.0038510911424903724
SABIR,211,0,211,1
SACHA,457,768,1225,0.3730612244897959
SACHIN,664,0,664,1
SAEED,357,0,357,1
SAFA,3,3230,3233,0.0009279307145066501
SAFWAAN,201,0,201,1
SAFWAN,552,0,552,1
SAHIB,463,30,493,0.9391480730223124
SAHIL,1353,0,1353,1
SAI,285,86,371,0.7681940700808625
SAID,342,0,342,1
SAIF,1502,0,1502,1
SAIM,246,0,246,1
SALEH,284,0,284,1
SALIM,298,0,298,1
SALMAN,834,0,834,1
SAM,19095,97,19192,0.9949458107544811
SAMAD,201,0,201,1
SAMAR,120,187,307,0.39087947882736157
SAMEER,1153,0,1153,1
SAMI,2384,27,2411,0.9888013272501037
SAMIR,1190,0,1190,1
SAMMY,620,121,741,0.8367071524966262
SAMSON,974,0,974,1
SAMUAL,535,0,535,1
SAMUEL,95575,0,95575,1
SANA,6,3114,3120,0.0019230769230769232
SANDEEP,164,104,268,0.6119402985074627
SANJAY,305,0,305,1
SANTIAGO,738,0,738,1
SANTINO,465,0,465,1
SAQIB,395,0,395,1
SASCHA,53,187,240,0.22083333333333333
